,searchterm,category,category_cleaned,lang,category_stem,searchterm_stem
568,soldering iron station with heat gun,SOLDERING_STATION,soldering station,en,"['solder', 'station']",solder iron station heat gun
739,dac converter ps4,ELECTRONIC_SIGNAL_CONVERTER,electronic signal converter,ca,"['electron', 'signal', 'convert']",dac convert ps4
2215,travel cornhole set adults,TARGET_TOSSING_GAME,target tossing game,ca,"['target', 'toss', 'game']",travel cornhol set adult
2283,dragon hotend high flow,MECHANICAL_COMPONENTS,mechanical components,en,"['mechan', 'compon']",dragon hotend high flow
3066,anel douche travel,ENEMA_DOUCHE,enema douche,it,"['enema', 'douch']",anel douch travel
3260,unicorn sprinkler for kids,WATER_PLAY_SPRINKLER,water play sprinkler,da,"['water', 'play', 'sprinkler']",unicorn sprinkler kid
4162,cd walkman,AUDIO_CD_PLAYER,audio cd player,so,"['audio', 'cd', 'player']",cd walkman
4957,résine elegoo,MECHANICAL_COMPONENTS,mechanical components,fr,"['mechan', 'compon']",résine elegoo
5033,pool blaster vacuum for above ground pools,POOL_VACUUM,pool vacuum,en,"['pool', 'vacuum']",pool blaster vacuum abov ground pool
5450,electric stoves for kitchen,RANGE,range,en,['rang'],electr stove kitchen
5909,motorcycle alarm wireless,CAR_ALARM,car alarm,en,"['car', 'alarm']",motorcycl alarm wireless
6494,cheese grater handheld metal,FOOD_GRATER,food grater,nl,"['food', 'grater']",chees grater handheld metal
7383,20 amp gfci outlet with night light,ELECTRICAL_OUTLET,electrical outlet,en,"['electr', 'outlet']",20 amp gfci outlet night light
7898,cage perches,ANIMAL_PERCH,animal perch,en,"['anim', 'perch']",cage perch
8105,gun cleaning kit 9mm pistol,GUN_CLEANING_KIT,gun cleaning kit,tl,"['gun', 'clean', 'kit']",gun clean kit 9mm pistol
9514,champu en seco batiste,DRY_SHAMPOO,dry shampoo,fr,"['dri', 'shampoo']",champu seco batist
9931,speaker tripod stand heavy duty,SPEAKER_AMPLIFIER_STAND,speaker amplifier stand,en,"['speaker', 'amplifi', 'stand']",speaker tripod stand heavi duti
10387,mesh curtain fireplace,FIRE_SCREEN,fire screen,en,"['fire', 'screen']",mesh curtain fireplac
10624,shimano bremsscheibe,BRAKE_ROTOR,brake rotor,de,"['brake', 'rotor']",shimano bremsscheib
11400,leg warmers for girls ballet,LEG_SLEEVE,leg sleeve,en,"['leg', 'sleev']",leg warmer girl ballet
13039,wooden musical instruments preschool,MUSICAL_INSTRUMENT_TOY,musical instrument toy,en,"['music', 'instrument', 'toy']",wooden music instrument preschool
13208,lentillas de color,CONTACT_LENSES,contact lenses,es,"['contact', 'lens']",lentilla color
13535,wooden playhouse indoor,PLAYHOUSE,playhouse,nl,['playhous'],wooden playhous indoor
13773,western belt buckles for men montana silversmiths,BUCKLE,buckle,en,['buckl'],western belt buckl men montana silversmith
14333,cd player walkman,AUDIO_CD_PLAYER,audio cd player,so,"['audio', 'cd', 'player']",cd player walkman
14892,basketball net replacement,SPORT_NET,sport net,no,"['sport', 'net']",basketbal net replac
15194,schaufensterpuppe weiblich,MANNEQUIN_CLOTHING_FORM,mannequin clothing form,de,"['mannequin', 'cloth', 'form']",schaufensterpupp weiblich
15937,portable movie player dvd,PORTABLE_VIDEO_DISC_PLAYER,portable video disc player,fr,"['portabl', 'video', 'disc', 'player']",portabl movi player dvd
17115,succulent garden tools,GARDEN_TOOL_SET,garden tool set,ca,"['garden', 'tool', 'set']",succul garden tool
17311,ski ropes for watersports floating handle,TOW_SPORTS_LINE,tow sports line,en,"['tow', 'sport', 'line']",ski rope watersport float handl
18064,rubbermaid bath mats for tub,BATHTUB_SHOWER_MAT,bathtub shower mat,en,"['bathtub', 'shower', 'mat']",rubbermaid bath mat tub
19980,plant tools set indoor,GARDEN_TOOL_SET,garden tool set,nl,"['garden', 'tool', 'set']",plant tool set indoor
20061,casa infantil,PLAYHOUSE,playhouse,it,['playhous'],casa infantil
20167,crepe paper halloween,CRAFT_WRAPPING_TISSUE_PAPER,craft wrapping tissue paper,en,"['craft', 'wrap', 'tissu', 'paper']",crepe paper halloween
20510,pistol gun cleaning kit,GUN_CLEANING_KIT,gun cleaning kit,tl,"['gun', 'clean', 'kit']",pistol gun clean kit
